2025-04-20 22:48:21 - INFO - ==== 回测日志系统初始化完成 ====
2025-04-20 22:48:40 - INFO - 已处理 82000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 83000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 84000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 85000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 86000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 87000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 88000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 89000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 90000/525600 条K线数据
2025-04-20 22:48:40 - INFO - 已处理 91000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 92000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 93000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 94000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 95000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 96000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 97000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 98000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 99000/525600 条K线数据
2025-04-20 22:48:41 - INFO - 已处理 100000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 101000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 102000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 103000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 104000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 105000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 106000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 107000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 108000/525600 条K线数据
2025-04-20 22:48:42 - INFO - 已处理 109000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 110000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 111000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 112000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 113000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 114000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 115000/525600 条K线数据
2025-04-20 22:48:43 - INFO - 已处理 116000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 117000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 118000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 119000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 120000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 121000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 122000/525600 条K线数据
2025-04-20 22:48:44 - INFO - 已处理 123000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 124000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 125000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 126000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 127000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 128000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 129000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 130000/525600 条K线数据
2025-04-20 22:48:45 - INFO - 已处理 131000/525600 条K线数据
2025-04-20 22:48:46 - INFO - 已处理 132000/525600 条K线数据
2025-04-20 22:48:46 - INFO - 已处理 133000/525600 条K线数据
2025-04-20 22:48:46 - INFO - 已处理 134000/525600 条K线数据
2025-04-20 22:48:46 - INFO - 已处理 135000/525600 条K线数据
2025-04-20 22:48:46 - INFO - 已处理 136000/525600 条K线数据
2025-04-20 22:48:46 - INFO - 已处理 137000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 138000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 139000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 140000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 141000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 142000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 143000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 144000/525600 条K线数据
2025-04-20 22:48:47 - INFO - 已处理 145000/525600 条K线数据
2025-04-20 22:48:48 - INFO - 已处理 146000/525600 条K线数据
2025-04-20 22:48:48 - INFO - 已处理 147000/525600 条K线数据
2025-04-20 22:48:48 - INFO - 已处理 148000/525600 条K线数据
2025-04-20 22:48:48 - INFO - 已处理 149000/525600 条K线数据
2025-04-20 22:48:48 - INFO - 已处理 150000/525600 条K线数据
2025-04-20 22:48:48 - INFO - 已处理 151000/525600 条K线数据
